product_category_level1,product_category_level2,product_category_level3,product_name,product_brand,price_range,normal_price,disc_price,is_onsale,review_count,rating,product_url
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Betsy Floral Sets Girl Pink,Takoyakids,Mulai Rp 109.900,,,False,0,0.0,https://www.orami.co.id/takoyakids-betsy-floral-sets-girl-pink.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Let's Smile Cloud Sets Girl Mustard,Takoyakids,Mulai Rp 109.900,,,False,0,0.0,https://www.orami.co.id/takoyakids-lets-smile-cloud-sets-girl-mustard.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Everyday Cupcake Bear Sets Girl Pink,Takoyakids,Mulai Rp 109.000,,,False,0,0.0,https://www.orami.co.id/takoyakids-everyday-cupcake-bear-sets-girl-pink.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Everyday Darling Rabbit Sets Girl Yellow,Takoyakids,Mulai Rp 89.900,,,False,0,0.0,https://www.orami.co.id/takoyakids-everyday-darling-rabbit-sets-girl-yellow.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Everyday I Love Truck Sets Boy Blue,Takoyakids,Mulai Rp 89.900,,,False,0,0.0,https://www.orami.co.id/takoyakids-everyday-i-love-truck-sets-boy-blue.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Everyday I Love Bunny Short Sets Girl,Takoyakids,Mulai Rp 89.900,,,False,0,0.0,https://www.orami.co.id/takoyakids-i-love-bunny-short-sets-girl.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Everyday Super Dino Long Sets Boy,Takoyakids,Mulai Rp 109.900,,,False,0,0.0,https://www.orami.co.id/takoyakids-super-dino-long-sets-boy.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Everyday Roaring Lion Short Sets Boy,Takoyakids,Mulai Rp 89.900,,,False,0,0.0,https://www.orami.co.id/takoyakids-roaring-lion-short-sets-boy.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Petra Vest Girl Sets Maroon,Takoyakids,Mulai Rp 139.000,,,False,0,0.0,https://www.orami.co.id/takoyakids-petra-vest-girl-sets-maroon.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Rabia Blouse Girl Sets Pink,Takoyakids,Mulai Rp 139.000,,,False,0,0.0,https://www.orami.co.id/takoyakids-rabia-blouse-girl-sets-pink.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Rabia Blouse Girl Sets Maroon,Takoyakids,Mulai Rp 139.000,,,False,0,0.0,https://www.orami.co.id/takoyakids-rabia-blouse-girl-sets-maroon.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Petra Vest Girl Sets Navy,Takoyakids,Mulai Rp 139.000,,,False,0,0.0,https://www.orami.co.id/takoyakids-petra-vest-girl-sets-navy.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Petra Vest Girl Sets Pink,Takoyakids,Mulai Rp 139.000,,,False,0,0.0,https://www.orami.co.id/takoyakids-petra-vest-girl-sets-pink.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Minori Sets Lis Putih Blue,Takoyakids,Mulai Rp 89.000,,,False,0,0.0,https://www.orami.co.id/takoyakids-minori-sets-lis-putih-blue.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Minori Sets Lis Putih Dark Gray,Takoyakids,Mulai Rp 89.000,,,False,0,0.0,https://www.orami.co.id/takoyakids-minori-sets-lis-putih-dark-gray.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Kei Kimono Sets Blue,Piccola,Mulai Rp 95.000,,,False,0,0.0,https://www.orami.co.id/takoyakids-kei-kimono-sets-blue.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Kei Kimono Sets Light Blue,Piccola,Mulai Rp 95.000,,,False,0,0.0,https://www.orami.co.id/takoyakids-kei-kimono-sets-light-blue.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Kei Kimono Sets Olive,Piccola,Mulai Rp 95.000,,,False,0,0.0,https://www.orami.co.id/takoyakids-kei-kimono-sets-olive.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Minori Sets Blue White Stripes,Takoyakids,Mulai Rp 89.000,,,False,0,0.0,https://www.orami.co.id/takoyakids-minori-sets-blue-white-stripes.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Minori Sets Steel Blue,Takoyakids,Mulai Rp 89.000,,,False,0,0.0,https://www.orami.co.id/takoyakids-minori-sets-steel-blue.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Kei Kimono Sets Dusty Pink,Takoyakids,Mulai Rp 95.000,,,False,0,0.0,https://www.orami.co.id/takoyakids-kei-kimono-sets-dusty-pink-1-2-year-241043.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Kei Kimono Sets Steel Blue,Takoyakids,Mulai Rp 95.000,,,False,0,0.0,https://www.orami.co.id/takoyakids-kei-kimono-sets-steel-blue-1-2-year-241045.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Kei Kimono Sets Abu Muda,Takoyakids,Mulai Rp 95.000,,,False,0,0.0,https://www.orami.co.id/takoyakids-kei-kimono-sets-abu-muda-1-2-year-241047.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Himari Set Dusty Pink,Takoyakids,Mulai Rp 95.000,,,False,0,0.0,https://www.orami.co.id/takoyakids-himari-set-dusty-pink.html
Fashion,Takoyakids,Set Pakaian Anak,Takoyakids Himari Set Steel Blue,Takoyakids,Mulai Rp 95.000,,,False,0,0.0,https://www.orami.co.id/takoyakids-himari-set-steel-blue.html
